CD_SETOR;total_consumers;environmentalist_count;moderate_count;wasteful_count;avg_daily_consumption;pct_environmentalist;pct_moderate;pct_wasteful
S002;1;0;0;1;71778.69;0.00;0.00;100.00
S068;91;21;2;68;445.09;23.08;2.20;74.73
S045;97;21;8;68;347.00;21.65;8.25;70.10
S008;302;72;23;207;188.08;23.84;7.62;68.54
S030;103;27;6;70;278.62;26.21;5.83;67.96
S007;272;78;18;176;160.73;28.68;6.62;64.71
S031;127;43;8;76;389.42;33.86;6.30;59.84
S044;138;43;14;81;353.31;31.16;10.14;58.70
S072;188;65;17;106;315.92;34.57;9.04;56.38
S040;66;24;5;37;210.93;36.36;7.58;56.06
S060;173;64;20;89;230.03;36.99;11.56;51.45
S039;83;32;10;41;144.35;38.55;12.05;49.40
S075;118;46;14;58;155.11;38.98;11.86;49.15
S046;79;35;6;38;210.04;44.30;7.59;48.10
S022;183;80;17;86;150.74;43.72;9.29;46.99
S019;172;73;19;80;175.34;42.44;11.05;46.51
S099;351;152;37;162;147.69;43.30;10.54;46.15
S091;136;59;15;62;171.26;43.38;11.03;45.59
S077;215;97;22;96;223.85;45.12;10.23;44.65
S013;23;11;2;10;134.02;47.83;8.70;43.48
S088;83;39;8;36;157.17;46.99;9.64;43.37
S034;268;125;27;116;168.65;46.64;10.07;43.28
S020;413;206;30;177;141.14;49.88;7.26;42.86
S036;160;76;16;68;182.12;47.50;10.00;42.50
S027;658;314;76;268;145.80;47.72;11.55;40.73
S001;146;67;21;58;124.41;45.89;14.38;39.73
S024;445;248;30;167;135.99;55.73;6.74;37.53
S092;210;125;7;78;121.78;59.52;3.33;37.14
S029;582;319;49;214;154.32;54.81;8.42;36.77
S035;105;59;8;38;132.70;56.19;7.62;36.19
S063;274;153;22;99;117.77;55.84;8.03;36.13
S023;554;316;38;200;131.63;57.04;6.86;36.10
S033;273;151;26;96;113.87;55.31;9.52;35.16
S084;186;108;13;65;115.18;58.06;6.99;34.95
S078;403;220;43;140;125.34;54.59;10.67;34.74
S079;394;223;35;136;107.66;56.60;8.88;34.52
S086;295;158;37;100;130.44;53.56;12.54;33.90
S028;209;120;19;70;244.10;57.42;9.09;33.49
S025;254;152;21;81;119.07;59.84;8.27;31.89
S081;234;143;17;74;104.89;61.11;7.26;31.62
S067;343;211;28;104;111.11;61.52;8.16;30.32
S066;173;108;15;50;104.44;62.43;8.67;28.90
S048;489;296;54;139;104.16;60.53;11.04;28.43
S004;162;104;12;46;93.19;64.20;7.41;28.40
S003;453;292;33;128;104.80;64.46;7.28;28.26
S080;348;206;49;93;91.65;59.20;14.08;26.72
S026;300;195;25;80;96.62;65.00;8.33;26.67
S032;354;220;40;94;104.59;62.15;11.30;26.55
S073;238;154;21;63;87.61;64.71;8.82;26.47
S094;77;51;6;20;89.96;66.23;7.79;25.97
S015;153;99;15;39;93.24;64.71;9.80;25.49
S047;158;104;15;39;87.81;65.82;9.49;24.68
S074;222;152;19;51;97.31;68.47;8.56;22.97
S021;334;224;34;76;85.51;67.07;10.18;22.75
S018;190;140;7;43;66.58;73.68;3.68;22.63
S006;138;92;16;30;85.21;66.67;11.59;21.74
S089;157;112;12;33;87.37;71.34;7.64;21.02
S083;163;116;13;34;83.41;71.17;7.98;20.86
S000;323;232;25;66;77.44;71.83;7.74;20.43
S017;151;111;10;30;65.02;73.51;6.62;19.87
S082;173;125;14;34;76.27;72.25;8.09;19.65
S005;267;195;22;50;85.48;73.03;8.24;18.73
S093;228;178;9;41;61.78;78.07;3.95;17.98
S095;87;60;13;14;77.27;68.97;14.94;16.09
